parameters,validation_score,train_score,rank
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5199999999999999,1.0,122
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5199999999999999,1.0,122
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.6,1.0,1
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5199999999999999,1.0,122
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5199999999999999,1.0,122
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.6,1.0,1
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 1000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.5800000000000001,1.0,7
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.48,1.0,142
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.48,1.0,142
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.48,1.0,142
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 3, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.52,1.0,103
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 50, 'estimator__random_state': 0}",0.5,1.0,128
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 100, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 150, 'estimator__random_state': 0}",0.5599999999999999,1.0,46
"{'estimator': RandomForestClassifier(max_features=200, min_samples_leaf=4, random_state=0), 'estimator__max_features': 2000, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 4, 'estimator__n_estimators': 200, 'estimator__random_state': 0}",0.54,1.0,61
"{'estimator': KNeighborsClassifier(), 'estimator__n_neighbors': 3, 'estimator__weights': 'uniform'}",0.26,0.62,177
"{'estimator': KNeighborsClassifier(), 'estimator__n_neighbors': 3, 'estimator__weights': 'distance'}",0.38,1.0,172
"{'estimator': KNeighborsClassifier(), 'estimator__n_neighbors': 4, 'estimator__weights': 'uniform'}",0.33999999999999997,0.585,175
"{'estimator': KNeighborsClassifier(), 'estimator__n_neighbors': 4, 'estimator__weights': 'distance'}",0.38,1.0,172
"{'estimator': KNeighborsClassifier(), 'estimator__n_neighbors': 5, 'estimator__weights': 'uniform'}",0.38,0.5449999999999999,172
"{'estimator': KNeighborsClassifier(), 'estimator__n_neighbors': 5, 'estimator__weights': 'distance'}",0.4,1.0,171
"{'estimator': LogisticRegression(), 'estimator__C': 1, 'estimator__l1_ratio': 0.3, 'estimator__penalty': 'elasticnet', 'estimator__random_state': 0, 'estimator__solver': 'saga'}",0.5,1.0,128
"{'estimator': LogisticRegression(), 'estimator__C': 1, 'estimator__l1_ratio': 0.4, 'estimator__penalty': 'elasticnet', 'estimator__random_state': 0, 'estimator__solver': 'saga'}",0.52,1.0,103
"{'estimator': LogisticRegression(), 'estimator__C': 1, 'estimator__l1_ratio': 0.5, 'estimator__penalty': 'elasticnet', 'estimator__random_state': 0, 'estimator__solver': 'saga'}",0.5,1.0,128
"{'estimator': LogisticRegression(), 'estimator__C': 10, 'estimator__l1_ratio': 0.3, 'estimator__penalty': 'elasticnet', 'estimator__random_state': 0, 'estimator__solver': 'saga'}",0.48,1.0,142
"{'estimator': LogisticRegression(), 'estimator__C': 10, 'estimator__l1_ratio': 0.4, 'estimator__penalty': 'elasticnet', 'estimator__random_state': 0, 'estimator__solver': 'saga'}",0.48,1.0,142
"{'estimator': LogisticRegression(), 'estimator__C': 10, 'estimator__l1_ratio': 0.5, 'estimator__penalty': 'elasticnet', 'estimator__random_state': 0, 'estimator__solver': 'saga'}",0.48,1.0,142
"{'estimator': LogisticRegression(), 'estimator__C': 100, 'estimator__l1_ratio': 0.3, 'estimator__penalty': 'elasticnet', 'estimator__random_state': 0, 'estimator__solver': 'saga'}",0.48,1.0,142
"{'estimator': LogisticRegression(), 'estimator__C': 100, 'estimator__l1_ratio': 0.4, 'estimator__penalty': 'elasticnet', 'estimator__random_state': 0, 'estimator__solver': 'saga'}",0.48,1.0,142
"{'estimator': LogisticRegression(), 'estimator__C': 100, 'estimator__l1_ratio': 0.5, 'estimator__penalty': 'elasticnet', 'estimator__random_state': 0, 'estimator__solver': 'saga'}",0.48,1.0,142
{'estimator': GaussianNB()},0.1,0.8800000000000001,178
